------------------------------------------------------------------------------------
导出信息：
姓名：李媛
支付宝账户：15384413471
起始时间：[2026-01-01 00:00:00]    终止时间：[2026-04-30 23:59:59]
导出交易类型：[全部]
导出时间：[2026-05-20 15:39:53]
共288笔记录
收入：7笔 103.79元
支出：222笔 10002.24元
不计收支：59笔 37810.35元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2026-04-30 17:26:14,退款,携程旅行网,ali***@ctrip.com,退款-火车票,不计收支,364.50,花呗,退款成功,2026041623001414671425039604_20260430177754116742f627f420	,NP177630628448188485462b6a044e20	,,
2026-04-28 17:59:21,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,老师傅邵阳米粉(御珑豪园店)外卖订单,支出,14.60,花呗,交易成功,2026042823001114671419870651	,13170600726042857661979675225	,,
2026-04-28 11:48:22,投资理财,余额宝,shu***@phfund.com.cn,余额宝-自动转入,支出,0.10,账户余额,交易成功,20260428019130101000670004157095	,20260428009130501000670033391288	,,
2026-04-28 11:09:29,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,小食候湘优选湘菜·绝无预制菜(天安云谷店)外卖订单,支出,19.30,花呗,交易成功,2026042823001114671413960605	,13110600726042899001322675225	,,
2026-04-28 09:17:34,转账红包,海南今日头条科技有限公司,/,红果短剧，边看边赚钱,收入,0.10,,交易成功,20260428020070011520670018374852	,326042805412799812672	,,
2026-04-27 16:21:13,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,27.04,花呗,交易成功,2026042723001414671414659956	,0001N202604270000000015405356214	,,
2026-04-27 14:21:16,酒店旅游,上海顺途科技有限公司,stk***@trip.com,火车票,支出,364.50,花呗,交易成功,2026042722001414671411071602	,20260427ALPP003556110009	,,
2026-04-27 14:11:56,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,364.50,花呗,退款成功,2026042722001414671409461747_M2026042753259783	,M2026042749141581	,,
2026-04-27 14:11:52,交通出行,携程旅行网,ali***@ctrip.com,火车票,支出,341.50,花呗,交易关闭,2026042722001414671413334355	,NP17772703125331130577000f919220	,,
2026-04-27 09:58:52,交通出行,铁路12306,chi***@alipay.com,火车票,支出,364.50,花呗,交易关闭,2026042722001414671409461747	,M2026042749141581	,,
